index,open_btc,high_btc,low_btc,close_btc,volume_btc,num_trades_btc,buy_volume_btc,open_eth,high_eth,low_eth,close_eth,volume_eth,num_trades_eth,buy_volume_eth,sum_volume,count,avg,min,max,open_keep,close_keep,high_keep,low_keep,vol_keep,volcon_keep,open,close,high,low,volume,volumeConverted,average,cnt
2020-07-22,9390.00000000,9544.00000000,9261.00000000,9518.16000000,48815.00410700,663029,23362.19379000,245.53000000,269.61000000,241.51000000,263.74000000,718417.68296000,273546,382255.45060000,278773.7,71,3926.3901408450706,22.14,117908.83,0.001824,0.001742,0.002074,0.00162,92601.38,172.39297085,0.445858418937,0.455732332681,0.474473978015,0.436267953694,862396.241004919,389015.883427474,0.45108717423694694,205.0
2020-07-23,9518.16000000,9664.00000000,9440.33000000,9603.27000000,51856.23350000,735371,24461.26546800,263.75000000,279.98000000,259.70000000,275.30000000,1068774.57879000,378573,548027.77647000,123298.64000000001,72,1712.4811111111112,18.06,21545.59,0.001734,0.001782,0.002077,0.001642,116731.71,209.46993870,0.455732332681,0.520047456959,0.532140119967,0.434232618727,1127923.3439847345,522933.118682111,0.4636246970779855,327.0
2020-07-24,9603.27000000,9637.00000000,9463.44000000,9537.80000000,43931.13620500,677725,20416.29997300,275.31000000,287.34000000,266.00000000,279.15000000,926033.06692000,362608,467152.58946000,9.223372036855298e+18,155,5.950562604422773e+16,8.0,9.223372036854776e+18,0.001794,0.002081,0.0022,0.001757,126542.80,247.96420507,0.520047456959,0.604949694084,0.610068732777,0.47518747337,1296881.2684573818,685294.027266013,0.528416936795732,322.0
2020-07-25,9538.10000000,9732.90000000,9513.00000000,9700.42000000,40679.54541600,675222,19626.60889300,279.15000000,308.94000000,279.09000000,305.26000000,1058927.30554000,424683,546337.36919000,805591.1700000003,103,7821.273495145634,4.8,499486.16,0.002092,0.00193,0.00225,0.001774,178523.96,363.49560761,0.604680882221,0.649489138213,0.685919704597,0.541483522323,1490523.826954968,858436.775368511,0.5759295892117572,332.0
2020-07-26,9700.42000000,10111.00000000,9650.00000000,9931.54000000,65279.26931900,945611,33748.33180700,305.31000000,318.75000000,299.00000000,311.00000000,1270368.75300000,486058,629296.22696000,5.7000000000001e+20,162,3.51851851851858e+18,0.09,5.7e+20,0.001942,0.002112,0.00223,0.001804,146234.10,300.93845418,0.650583588456,0.630076788557,0.696219163367,0.616620575597,897907.8001333775,578886.759254373,0.6447062372867055,342.0
2020-07-27,9931.54000000,11394.86000000,9917.21000000,11029.96000000,150188.93314400,1901088,76650.61005100,311.02000000,333.31000000,310.78000000,321.93000000,1636122.34727000,645395,818454.59042000,279564.6399999999,82,3409.3248780487793,68.22,35067.78,0.002111,0.001641,0.002129,0.001585,117945.07,209.05384416,0.630081111478,0.543477889433,0.664270372922,0.506681930538,807781.1095153051,475744.407572339,0.5889521331562223,160.0
2020-07-28,11029.96000000,11242.23000000,10565.00000000,10906.27000000,97267.73418700,1475636,46575.43053400,321.95000000,326.80000000,305.86000000,316.77000000,1093231.55578000,458451,526272.91372000,9.223372036854993e+18,96,9.607679205057285e+16,48.0,9.223372036854776e+18,0.001631,0.001562,0.00185,0.001542,95134.73,154.94649578,0.541485117141,0.503073292451,0.550516859628,0.496073077265,805956.4144159079,423723.283442931,0.5257396998943317,239.0
2020-07-29,10906.27000000,11342.82000000,10812.00000000,11100.53000000,76838.09423300,1127302,36218.47706500,316.77000000,325.00000000,312.38000000,317.71000000,792802.32148000,347597,403407.16614000,90340005.2,39,2316410.38974359,0.59,90071992.55,0.001575,0.001534,0.001645,0.001523,91350.56,142.37693080,0.502723007797,0.490556451823,0.519876620141,0.488596004475,703888.4009228513,356851.51937018,0.5069717286182305,83.0
2020-07-30,11100.52000000,11170.00000000,10831.00000000,11099.61000000,60794.82645600,879960,28272.69876500,317.76000000,342.00000000,314.05000000,334.87000000,1008827.56698000,410721,548703.63674000,585740.0700000001,46,12733.479782608698,1.0,481451.2,0.001524,0.001502,0.00169,0.00143,102573.58,154.59747656,0.490178716577,0.487342668468,0.509694019333,0.448763572987,789457.1147355989,388157.921840914,0.49167702031656774,66.0
2020-07-31,11099.79000000,11444.00000000,10960.00000000,11335.46000000,70063.66097400,971584,34068.14336500,334.82000000,349.45000000,328.40000000,346.33000000,948088.44982000,461788,479449.06541000,147848.03,60,2464.1338333333333,120.0,58227.0,0.001511,0.001519,0.001659,0.001312,97932.26,142.24648261,0.487342668468,0.508450733577,0.531584790929,0.46485716234,909771.142286729,457346.153153071,0.5027046164637865,197.0
2020-08-01,11335.46000000,11861.00000000,11220.00000000,11801.17000000,85087.48512600,1174252,40523.73352400,346.32000000,392.67000000,343.07000000,387.00000000,1440843.34203000,598900,763925.60566000,182781.89000000007,52,3515.0363461538477,34.65,52121.31,0.001529,0.001328,0.001559,0.001272,91319.21,124.89504142,0.509377727919,0.504011415451,0.521613248806,0.463071502893,887999.7818851385,443604.871001414,0.49955515761465996,140.0
